date,PET,rain,flow
2018-05-30,inf,0.0,50872319.99999999
2018-05-31,inf,0.0,52807680.00000001
2018-06-01,inf,0.0,56678400.0
2018-06-02,inf,0.0,57974400.0
2018-06-03,inf,0.0,60307200.0
2018-06-04,inf,0.0,63936000.0
2018-06-05,inf,0.0,60307200.0
2018-06-06,inf,0.0,53049600.0
2018-06-07,inf,0.0,47243519.99999999
2018-06-08,inf,0.0,42871680.0
2018-06-09,inf,0.0,39726720.0
2018-06-10,inf,0.0,36806400.0
2018-06-11,inf,0.0,35907840.0
2018-06-12,inf,0.0,36132480.0
2018-06-13,inf,0.0,38154240.0
2018-06-14,inf,0.0,41074560.0
2018-06-15,inf,0.0,43770240.0
2018-06-16,inf,0.0,45792000.0
2018-06-17,inf,0.0,47001600.0
2018-06-18,inf,0.0,52323840.0
2018-06-19,inf,0.0,53049600.0
2018-06-20,inf,0.0,52081919.99999999
2018-06-21,inf,0.0,48936960.0
2018-06-22,inf,0.0,45792000.0
2018-06-23,inf,0.0,44668800.0
2018-06-24,inf,0.0,45792000.0
2018-06-25,inf,0.0,50388480.00000001
2018-06-26,inf,0.0,55641600.0
2018-06-27,inf,0.0,61344000.0
2018-06-28,inf,0.0,68497920.0
2018-06-29,inf,0.0,76239360.0
2018-06-30,inf,0.0,78883200.0
2018-07-01,inf,0.0,81820800.0
2018-07-02,inf,0.0,79764480.0
2018-07-03,inf,0.0,76826880.0
2018-07-04,inf,0.0,73889280.0
2018-07-05,inf,0.0,69327360.0
2018-07-06,inf,0.0,62380800.0
2018-07-07,inf,0.0,54086400.0
2018-07-08,inf,0.0,49420800.0
2018-07-09,inf,0.0,44444160.0
2018-07-10,inf,0.0,41299200.0
2018-07-11,inf,0.0,40849920.0
2018-07-12,inf,0.0,44668800.0
2018-07-13,inf,0.0,46759680.00000001
2018-07-14,inf,0.0,47243519.99999999
2018-07-15,inf,0.0,47243519.99999999
2018-07-16,inf,0.0,46517760.0
2018-07-17,inf,0.0,46517760.0
2018-07-18,inf,0.0,48695040.0
2018-07-19,inf,0.0,53308800.0
2018-07-20,inf,0.0,60825600.0
2018-07-21,inf,0.0,68221440.0
2018-07-22,inf,0.0,73008000.0
2018-07-23,inf,0.0,74183040.0
2018-07-24,inf,0.0,73889280.0
2018-07-25,inf,0.0,70986240.0
2018-07-26,inf,0.0,67392000.0
2018-07-27,inf,0.0,64713600.0
2018-07-28,inf,0.0,63676800.0
2018-07-29,inf,0.0,63158400.0
2018-07-30,inf,0.0,62640000.0
2018-07-31,inf,0.0,63158400.0
2018-08-01,inf,0.0,63158400.0
2018-08-02,inf,0.0,64195200.0
2018-08-03,inf,0.0,66286080.00000001
2018-08-04,inf,0.0,71262720.0
2018-08-05,inf,0.0,75358080.0
2018-08-06,inf,0.0,77120640.0
2018-08-07,inf,0.0,79176960.0
2018-08-08,inf,0.0,80939520.0
2018-08-09,inf,0.0,81820800.0
2018-08-10,inf,0.0,82702080.0
2018-08-11,inf,0.0,82114560.0
2018-08-12,inf,0.0,80352000.0
2018-08-13,inf,0.0,80352000.0
2018-08-14,inf,0.0,80352000.0
2018-08-15,inf,0.0,80645760.0
2018-08-16,inf,0.0,80645760.0
2018-08-17,inf,0.0,78589440.0
2018-08-18,inf,0.0,75064320.0
2018-08-19,inf,0.0,70709760.0
2018-08-20,inf,0.0,65750400.0
2018-08-21,inf,0.0,62380800.0
2018-08-22,inf,0.0,62380800.0
2018-08-23,inf,0.0,67392000.0
2018-08-24,inf,0.0,76239360.0
2018-08-25,inf,0.0,84844800.0
2018-08-26,inf,0.0,90754560.00000001
2018-08-27,inf,0.0,94798080.0
2018-08-28,inf,0.0,98219520.0
2018-08-29,inf,0.0,103507200.0
2018-08-30,inf,0.0,109486080.0
2018-08-31,inf,0.0,113425920.0
2018-09-01,inf,0.0,115395839.99999999
2018-09-02,inf,0.0,116709120.0
2018-09-03,inf,0.0,115067520.0
2018-09-04,inf,0.0,111784320.0
2018-09-05,inf,0.0,105995520.0
2018-09-06,inf,0.0,100085760.00000001
2018-09-07,inf,0.0,96353280.0
2018-09-08,inf,0.0,93553920.0
2018-09-09,inf,0.0,91376639.99999999
2018-09-10,inf,0.0,88266240.0
2018-09-11,inf,0.0,85155840.0
2018-09-12,inf,0.0,80939520.0
2018-09-13,inf,0.0,77708160.0
2018-09-14,inf,0.0,76533120.0
2018-09-15,inf,0.0,78295680.0
2018-09-16,inf,0.0,81233280.0
2018-09-17,inf,0.0,84222720.0
2018-09-18,inf,0.0,86400000.0
2018-09-19,inf,0.0,86711040.0
2018-09-20,inf,0.0,84533760.0
2018-09-21,inf,0.0,82702080.0
2018-09-22,inf,0.0,84844800.0
2018-09-23,inf,0.0,81820800.0
2018-09-24,inf,0.0,74770560.0
