date;discharge;ETP;precipitation;temperature
2018-07-26;0.302113509202454;5.03;0.0414;22.62361111111112
2018-07-27;0.28679233619631905;5.12;0.0828;24.15277777777777
2018-07-28;0.2915006797546012;4.82;4.606459999999999;23.056944444444444
2018-07-29;0.2962117914110429;4.31;0.3822;20.22777777777777
2018-07-30;0.3077926306748467;3.85;0.30314;23.516666666666666
2018-07-31;0.27085705766871165;4.62;0.6986199999999999;23.13055555555556
2018-08-01;0.2664843533742331;3.85;0.2994199999999999;20.04027777777777
2018-08-02;0.28606012269938647;4.23;0.10352;20.508333333333333
2018-08-03;0.2691963239263804;4.13;0.0621199999999999;21.460416666666664
2018-08-04;0.24919970797546015;4.53;0.4782999999999999;20.17013888888889
2018-08-05;0.22158283435582823;4.28;0.0620999999999999;17.54236111111111
2018-08-06;0.28989814969325156;2.19;1.49336;17.66111111111111
2018-08-07;0.25187851288343555;3.95;0.1825999999999999;22.252604166666668
2018-08-08;0.2886754822085889;3.26;1.809;22.89861111111111
2018-08-09;0.3286300490797546;4.08;3.33744;18.797916666666666
2018-08-10;0.3594595141104295;3.51;0.7364200000000001;17.21611111111111
2018-08-11;0.42007820613496927;2.12;4.19051;13.754166666666668
2018-08-12;0.39702424049079754;1.56;7.053539999999999;13.05451388888889
2018-08-13;0.44946870920245396;0.98;13.88158;15.421527777777778
2018-08-14;0.5780322110429448;1.89;10.954679999999998;17.01527777777778
2018-08-15;0.596907055214724;2.69;0.39336;18.25486111111111
2018-08-16;0.5550616564417178;1.98;0.0;18.9125
2018-08-17;0.47624200490797547;3.05;0.0001;17.120833333333334
2018-08-18;0.4950935631901841;1.6;0.4782999999999999;15.98125
2018-08-19;0.44744479509202456;1.27;4.83426;17.477083333333333
2018-08-20;0.42054111165644176;3.29;0.22032;15.91527777777778
2018-08-21;0.4636380515337424;3.31;0.00028;15.640277777777778
2018-08-22;0.4508389398773006;2.78;0.0;19.77638888888889
2018-08-23;0.3722594944785276;2.44;5.68928;18.856944444444444
2018-08-24;0.4066852711656442;1.77;5.19348;13.846527777777778
2018-08-25;0.4053487656441718;2.37;0.2581399999999999;12.383333333333333
2018-08-26;0.40799017914110425;2.59;0.0002;12.956944444444444
2018-08-27;0.5508788697633655;1.35;10.7553;14.25625
2018-08-28;0.47320797055214725;1.85;0.0;15.413194444444445
2018-08-29;0.5125613521472392;1.9;2e-05;15.572222222222225
2018-08-30;0.47773710920245394;0.98;6.70524;14.93402777777778
2018-08-31;0.577737717791411;1.29;1.47414;13.993055555555555
2018-09-01;0.5321966282208589;1.55;0.00022;15.02986111111111
2018-09-02;0.5239524588957055;2.07;0.0001;14.999305555555557
2018-09-03;0.4593595141104295;1.63;6e-05;16.37152777777778
2018-09-04;0.4546242257668711;1.91;0.00012;16.46527777777778
2018-09-05;0.4306999803680982;2.27;2e-05;17.124305555555555
2018-09-06;0.42882086134969327;2.1;0.04144;17.12152777777778
2018-09-07;0.4864401865030675;0.93;14.230289999999997;15.267361111111112
2018-09-08;0.5556334306748467;1.71;2.3183;13.015277777777778
2018-09-09;0.5326036785276074;1.51;6.942499999999999;15.581944444444444
2018-09-10;0.4826257546012269;2.19;1.0240599999999995;15.549305555555556
2018-09-11;0.46840152147239267;1.12;7.017649999999999;13.683333333333332
2018-09-12;0.34118569325153375;2.11;0.02072;12.93888888888889
2018-09-13;0.5182932736196318;1.42;1.2733399999999997;11.718055555555557
2018-09-14;0.47447298404907984;1.26;0.6200399999999999;12.593055555555557
2018-09-15;0.40826963190184046;1.58;1.0435;11.802777777777775
2018-09-16;0.5164116588957056;1.29;0.2203;12.896666666666668
2018-09-17;0.3853358944785277;1.58;0.02072;16.477777777777778
2018-09-18;0.49651748466257667;2.2;0.0;18.13055555555556
2018-09-19;0.3951806429447853;1.5;0.0;17.575
2018-09-20;0.3653321963190184;1.02;2.17518;14.173611111111112
2018-09-21;0.4766089030674847;1.8;2.7597;13.87361111111111
2018-09-22;0.5582216245398772;1.93;1.70388;10.192361111111111
2018-09-23;0.6398343460122699;1.7;0.3410799999999999;9.558333333333334
2018-09-24;0.4603518404907975;2.1;0.021;8.573611111111111
2018-09-25;0.5930705595092025;1.58;0.00022;9.013194444444444
2018-09-26;0.4247048981595092;1.12;0.61785;13.049305555555556
2018-09-27;0.44635705766871164;1.21;0.31642;13.372916666666669
2018-09-28;0.41985337177914106;1.94;4e-05;9.373611111111112
2018-09-29;0.546255519018405;1.11;0.0001;9.290972222222225
2018-09-30;0.43093546012269934;1.08;1.62732;10.34375
2018-10-01;0.4041636245398773;1.03;0.17924;7.774999999999999
2018-10-02;0.37739178895705516;1.17;3.132;8.285416666666668
2018-10-03;0.3506199533742331;1.58;0.0621599999999999;8.917361111111111
2018-10-04;0.559410117791411;0.77;0.4161999999999999;10.752083333333331
2018-10-05;0.43722086871165644;0.8;0.6440999999999999;13.859027777777778
2018-10-06;0.47552637791411034;0.86;1.5839799999999995;9.251388888888888
2018-10-07;0.48184386257668715;0.79;1.9796;7.857638888888889
2018-10-08;0.5396941619631901;0.9;0.1582;11.3875
2018-10-09;0.4414699509202453;0.84;0.0;13.15
2018-10-10;0.5204365030674846;0.69;2e-05;11.875
2018-10-11;0.5134214650306749;1.09;0.0998;13.54
2018-10-12;0.4927450969325154;0.88;2e-05;14.715972222222222
2018-10-13;0.49859539877300607;1.17;0.0791;16.275000000000002
2018-10-14;0.5329769889570551;1.31;0.0;13.99652777777778
2018-10-15;0.41005336932515335;0.71;4e-05;13.592361111111112
2018-10-16;0.506253990184049;0.48;8e-05;12.283333333333331
2018-10-17;0.43180674846625766;0.54;0.2372999999999999;13.524305555555555
2018-10-18;0.4705466355828221;0.74;0.0207;9.596527777777778
2018-10-19;0.5070539926380369;0.55;0.0;7.9430555555555555
2018-10-20;0.4558748466257668;0.81;0.02078;9.579166666666667
2018-10-21;0.4932223877300614;0.59;0.4858199999999999;11.845138888888888
2018-10-22;0.33089296196319024;1.18;0.30332;8.479166666666666
2018-10-23;0.3651533668711656;1.33;6.80558;9.715277777777777
2018-10-24;0.2681724073619632;1.0;0.19978;7.660416666666666
2018-10-25;0.4402089316229783;1.13;0.2580199999999999;8.934722222222222
2018-10-26;0.6228751656441718;0.43;6.557579999999999;6.873611111111111
2018-10-27;0.5711404711656443;0.44;4.773669999999999;2.584722222222222
2018-10-28;0.6992868147239264;0.3;4.48444;1.1395833333333334
2018-10-29;0.6193325153374233;0.96;2.72156;3.4347222222222222
2018-10-30;0.6129852515337423;0.46;9.63608;7.227777777777778
2018-10-31;0.6692671730061348;0.32;1.17336;6.585416666666667
2018-11-01;0.736833754601227;0.49;0.02076;8.463194444444445
2018-11-02;0.6387947926380368;0.51;1.93988;8.561805555555555
2018-11-03;0.5921104269938651;0.16;1.5820199999999998;6.076388888888889
2018-11-04;0.6125622699386503;0.35;1.58204;7.052083333333333
2018-11-05;0.5128567509202453;0.39;2.49165;8.702083333333333
2018-11-06;0.5988144294478527;0.32;1.9775;8.718055555555557
2018-11-07;0.5294607312883436;0.23;2.1564;8.260416666666666
2018-11-08;0.5862996957055215;0.08;0.8117;7.807638888888889
2018-11-09;0.5693852834355828;0.22;1.40694;6.829166666666667
2018-11-10;0.5805441791411042;0.28;5.64268;8.815277777777778
2018-11-11;0.5545374331288343;0.29;8.25281;9.8825
2018-11-12;0.6312736122699386;0.2;2.80818;8.42986111111111
2018-11-13;0.6558260687116565;0.23;3.1718599999999992;8.342361111111112
2018-11-14;0.6640907926380367;0.13;2.92108;8.573611111111111
2018-11-15;0.660684036809816;0.13;0.07916;8.831249999999999
2018-11-16;0.6706052171779141;0.12;0.0;7.175
2018-11-17;0.6353137987730062;0.07;6e-05;4.1506944444444445
2018-11-18;0.5902134920245399;0.27;4e-05;4.855555555555555
2018-11-19;0.5835748417177915;0.94;0.36528;3.7798611111111113
2018-11-20;0.5658094969325153;0.86;0.6950000000000001;3.959722222222222
2018-11-21;0.5547598306748466;0.96;0.0207;4.013194444444444
2018-11-22;0.5678862110429447;0.79;0.0;4.002777777777777
2018-11-23;0.5540867926380368;0.5;0.0;2.3256944444444443
2018-11-24;0.5645285226993866;0.27;1.40474;1.329861111111111
2018-11-25;0.5547708736196318;0.15;1.5857599999999996;0.8763888888888888
2018-11-26;0.576583126380368;0.0;0.0001;-0.9958333333333332
2018-11-27;0.5900552245398774;0.0;2e-05;-0.2076388888888889
2018-11-28;0.6035441889570552;0.39;0.07928;1.7569444444444444
2018-11-29;0.5625423239263803;0.32;15.90482;3.457638888888889
2018-11-30;0.6359389619631902;0.41;0.7741;6.727083333333333
2018-12-01;0.6440953987730061;0.03;1.55242;5.251388888888889
2018-12-02;0.6922907926380368;0.26;11.21898;6.495833333333334
2018-12-03;0.6816693202453988;0.16;3.2241599999999995;8.278472222222222
2018-12-04;0.35117637791411044;0.84;0.0;3.797222222222222
2018-12-05;1.0254984662576687;0.0;0.07914;2.4993055555555554
2018-12-06;0.752425774233129;0.21;5.11724;4.99375
2018-12-07;0.6796770036809816;0.2;8.516240000000002;8.075000000000001
2018-12-08;0.8039634920245399;0.34;6.221;6.041666666666667
2018-12-09;0.7559659288343558;0.17;0.7233399999999999;4.439583333333333
2018-12-10;0.7615984858895706;0.7;0.0;3.795833333333333
2018-12-11;0.9527493865030674;0.72;0.0;3.3666666666666667
2018-12-12;0.8894282134969325;0.47;0.0;2.4027777777777777
2018-12-13;0.8032824957055213;0.43;0.15832;0.7770833333333332
2018-12-14;0.7195272957055214;0.56;0.2994999999999999;1.3819444444444444
2018-12-15;0.7330595116564417;0.38;0.92338;1.613888888888889
2018-12-16;0.7250294503067484;0.66;0.4953199999999999;0.5006944444444444
2018-12-17;0.634468100613497;0.49;0.0;0.1368055555555555
2018-12-18;0.6889631926380368;0.35;0.15824;2.5652777777777778
2018-12-19;0.6533325128834356;0.41;2.72162;3.255555555555556
2018-12-20;0.6292954012269939;0.2;6.467639999999999;3.932638888888889
2018-12-21;0.6919659386503068;0.19;14.63304;3.9986111111111113
2018-12-22;0.8882579779141103;0.19;2.37114;0.8916666666666667
2018-12-23;1.0236503042944787;0.25;0.6368999999999998;0.4368055555555555
2018-12-24;0.910127919018405;0.0;0.07912;0.8027777777777777
2018-12-25;0.8364291312883435;0.77;0.0;5.703472222222222
2018-12-26;0.8090972245398773;0.16;0.0;6.822916666666667
2018-12-27;0.7641217619631903;0.44;0.0;7.33263888888889
2018-12-28;0.7546898944785276;0.16;0.02072;6.261805555555555
2018-12-29;0.7251036883435583;0.26;5.925680000000001;6.6506944444444445
2018-12-30;0.6485938601226994;0.03;0.1582;3.259027777777778
2018-12-31;0.8122874429447852;0.22;1.05692;6.040972222222222
2019-01-01;0.32559356319018407;1.66;0.09986;5.458333333333333
2019-01-02;0.6087484564417177;1.09;4e-05;1.2138888888888888
2019-01-03;0.9262892539877301;0.02;6e-05;-0.6166666666666667
2019-01-04;0.6631052098159508;0.29;0.15822;5.292361111111111
2019-01-05;0.6896315852760736;0.01;0.0;3.875
2019-01-06;0.6986297595092024;0.1;0.0998;1.2756944444444445
2019-01-07;0.6580975509202452;0.27;2.69886;5.302083333333333
2019-01-08;0.228696309202454;0.42;5.585500000000001;3.2201388888888887
2019-01-09;0.7777638331288343;0.47;0.0;0.6958333333333334
2019-01-10;0.9309929374233129;0.18;0.35788;0.2750000000000001
2019-01-11;0.69667576196319;0.32;0.19966;4.815972222222222
2019-01-12;0.7343923141104295;0.22;2.9834;4.089583333333333
2019-01-13;0.5608788147239264;0.4;4.256379999999999;5.240277777777778
2019-01-14;0.4894950993865031;1.08;0.0;0.8368055555555555
2019-01-15;0.9335941693251534;0.4;3.14522;4.345833333333333
2019-01-16;0.730111663803681;0.4;2.51648;6.274166666666667
2019-01-17;0.7916935582822087;0.53;0.28296;0.5847222222222223
