date,temp,humid,wind,radia,precip,ETp,Q(l/s),ks mrk.,Q_mm_d,precip_roll7d,precip_roll30d
2012-07-23 00:00:00,17.251388888888886,68.98611111111111,4.113888888888889,348.97222222222223,0.0,2.41,456.2844444444444,0.0,0.2815926857142856,28.3,106.4
2012-07-23 12:00:00,20.115277777777777,59.625,3.311111111111112,278.40277777777777,0.0,2.41,404.5878048780488,0.0,0.2496884738675958,24.8,106.10000000000001
2012-07-24 00:00:00,19.40833333333333,67.75,1.5750000000000002,353.0,0.0,2.355,361.3075,0.0,0.2229783428571428,22.3,101.0
2012-07-24 12:00:00,21.601388888888888,56.22222222222222,1.6861111111111111,264.1666666666667,0.0,2.355,324.7609756097561,0.0,0.2004239163763066,17.8,81.7
2012-07-25 00:00:00,20.67638888888889,68.91666666666667,1.2736111111111112,352.02777777777777,0.0,2.385,296.60322580645163,0.0,0.1830465622119815,16.900000000000002,80.9
2012-07-25 12:00:00,22.375,56.875,1.3138888888888889,271.05555555555554,0.0,2.385,269.29411764705884,0.0,0.1661929411764706,13.100000000000001,75.30000000000001
2012-07-26 00:00:00,19.009722222222223,82.625,1.5499999999999998,339.22222222222223,0.0,2.135,247.52916666666667,0.0,0.1527608571428571,8.3,75.30000000000001
2012-07-26 12:00:00,19.53333333333333,66.33333333333333,1.7069444444444446,275.25,0.0,2.135,230.1681818181818,0.0,0.1420466493506493,5.8,75.30000000000001
2012-07-27 00:00:00,17.618055555555557,78.66666666666667,1.0861111111111112,354.4861111111111,0.0,2.275,214.3625,0.0,0.1322922857142857,4.8999999999999995,75.30000000000001
2012-07-27 12:00:00,22.773611111111112,60.16666666666666,2.504166666666667,271.1388888888889,0.0,2.275,200.32,0.0,0.1236260571428571,3.1,75.30000000000001
2012-07-28 00:00:00,20.09027777777778,88.66666666666667,2.4541666666666666,255.31944444444449,7.3,1.415,195.93,0.0,0.1209168,9.7,82.60000000000001
2012-07-28 12:00:00,18.056944444444444,86.76388888888889,3.765277777777778,128.61111111111111,0.5,1.415,214.532,0.0,0.1323968914285714,9.7,83.10000000000001
2012-07-29 00:00:00,13.90972222222222,89.25,0.9583333333333334,151.77777777777777,0.0,0.875,224.08,0.0,0.1382893714285714,8.399999999999999,81.2
2012-07-29 12:00:00,15.3625,88.08333333333333,1.2444444444444445,83.06944444444444,1.9,0.875,216.60625,0.0,0.133677,9.700000000000001,72.8
2012-07-30 00:00:00,15.495833333333334,87.97222222222223,1.3930555555555555,239.40277777777777,1.4,1.18,208.34545454545457,0.0,0.1285789090909091,11.100000000000001,74.2
2012-07-30 12:00:00,14.354166666666666,85.95833333333333,1.9041666666666663,106.45833333333331,4.4,1.18,203.35416666666663,0.0,0.1254985714285714,15.5,78.60000000000001
2012-07-31 00:00:00,13.979166666666666,79.94444444444444,3.466666666666667,286.59722222222223,0.1,1.36,204.30769230769232,0.0,0.1260870329670329,15.600000000000001,78.7
2012-07-31 12:00:00,13.4375,83.97222222222223,2.0347222222222223,147.06944444444446,7.9,1.36,225.32,0.0,0.1390546285714285,23.5,86.60000000000001
2012-08-01 00:00:00,13.430555555555555,88.06944444444444,0.9722222222222222,267.4861111111111,0.0,1.625,233.05882352941177,0.0,0.1438305882352941,23.5,86.60000000000001
2012-08-01 12:00:00,18.02777777777778,70.38888888888889,2.458333333333333,244.7083333333333,0.0,1.625,249.53333333333333,0.0,0.1539977142857143,23.5,86.60000000000001
2012-08-02 00:00:00,19.15416666666667,80.125,2.7375,225.44444444444449,0.0,1.41,238.99,0.0,0.1474909714285714,23.5,86.60000000000001
2012-08-02 12:00:00,19.843055555555555,83.54166666666667,2.6930555555555555,115.55555555555556,2.6,1.41,225.348,0.0,0.1390719085714286,26.1,89.2
