date,temp,humid,wind,radia,precip,ETp,Q(l/s),ks mrk.,Q_mm_d
2007-12-13 00:00:00,1.390277777777778,85.86111111111111,0.8777777777777778,8.833333333333334,0.0,0.16,1117.9446808510638,0.0,0.6899315744680851
2007-12-13 12:00:00,2.3069444444444445,83.625,1.1944444444444444,4.722222222222222,0.0,0.16,1054.472340425532,0.0,0.6507600729483283
2007-12-14 00:00:00,3.084722222222222,89.69444444444444,3.0680555555555555,9.208333333333334,0.1,0.14,1005.4282608695652,0.0,0.6204928695652174
2007-12-14 12:00:00,3.5625,95.63888888888889,1.2736111111111112,3.75,0.0,0.14,971.0365853658536,0.0,0.5992682926829268
2007-12-15 00:00:00,3.3069444444444445,97.06944444444444,0.4125,33.541666666666664,0.0,0.0,923.9522727272728,0.0,0.5702105454545455
2007-12-15 12:00:00,-0.4277777777777778,93.26388888888889,0.2930555555555555,18.25,0.0,0.0,891.7425,0.0,0.5503325142857143
2007-12-16 00:00:00,-2.3208333333333333,99.84722222222224,0.3708333333333333,12.819444444444445,0.0,0.06,845.2487804878048,0.0,0.5216392473867595
2007-12-16 12:00:00,1.3472222222222223,98.86111111111111,0.6833333333333333,4.597222222222222,0.0,0.06,816.3068181818181,0.0,0.503777922077922
2007-12-17 00:00:00,1.709722222222222,98.05555555555556,0.5319444444444444,7.763888888888889,0.0,0.13,795.145,0.0,0.49071805714285716
2007-12-17 12:00:00,2.966666666666667,89.20833333333333,1.2736111111111112,3.25,0.0,0.13,785.3255813953489,0.0,0.48465807308970105
2007-12-18 00:00:00,1.1083333333333334,92.33333333333331,1.415277777777778,4.736111111111111,0.0,0.15,772.1942857142857,0.0,0.476554187755102
2007-12-18 12:00:00,0.4347222222222222,92.55555555555556,1.0902777777777777,2.4027777777777777,0.0,0.15,779.963888888889,0.0,0.48134914285714286
2007-12-19 00:00:00,0.2222222222222222,95.55555555555556,2.033333333333333,6.763888888888889,0.0,0.13,775.8878048780488,0.0,0.4788336167247387
2007-12-19 12:00:00,1.836111111111111,92.94444444444444,3.058333333333333,3.513888888888889,0.0,0.13,749.825,0.0,0.4627491428571429
2007-12-20 00:00:00,2.622222222222222,94.65277777777776,3.1375,7.625,0.0,0.12,735.55625,0.0,0.4539432857142857
