date,discharge,precipitation,ETp,precip_7d,precip_30d,precip_90d,precip_surplus
2010-05-22,0.6930427502230446,0.0,3.485,0.5142857142857132,2.3466666666666667,2.217222222222222,-3.485
2010-05-23,0.6788151042527178,0.0,2.885,0.5142857142857132,2.3366666666666664,2.2194444444444446,-2.885
2010-05-24,0.6634999669563494,2.0,1.86,0.5142857142857132,2.631666666666667,2.2194444444444446,0.1399999999999999
2010-05-25,0.6422708009780921,0.0,3.125,0.46428571428571325,2.638333333333333,2.221111111111111,-3.125
2010-05-26,0.6074076595182236,0.0,2.97,0.499999999999999,3.2416666666666667,2.2105555555555556,-2.97
2010-05-27,0.572137610283184,0.0,3.025,3.949999999999999,3.9583333333333335,2.2105555555555556,-3.025
2010-05-28,0.5515178766150084,1.25,2.375,3.7428571428571416,4.1883333333333335,2.2144444444444447,-1.125
2010-05-29,0.5306079198447236,0.25,3.0199999999999996,3.7428571428571416,4.368333333333334,2.365,-2.7699999999999996
2010-05-30,0.5695677642665962,24.15,0.8200000000000001,3.7428571428571416,4.5600000000000005,2.381666666666667,23.33
2010-05-31,0.6131560403793411,0.55,3.37,3.7428571428571416,3.7766666666666664,2.3844444444444446,-2.8200000000000003
2010-06-01,0.5879403231669035,0.0,4.2,3.5714285714285703,3.915,2.388888888888889,-4.2
2010-06-02,0.5662196411459538,0.0,4.265000000000001,3.8785714285714272,3.948333333333333,2.39,-4.265000000000001
2010-06-03,0.5453317334699138,0.0,4.12,0.5285714285714276,3.953333333333333,2.4466666666666668,-4.12
2010-06-04,0.5222289924990913,0.05,4.1850000000000005,2.042857142857142,3.9766666666666666,2.4472222222222224,-4.135000000000001
2010-06-05,0.4905691438390114,2.4,3.905,2.2214285714285706,4.328333333333334,2.388333333333333,-1.505
2010-06-06,0.4746046492416483,0.7,3.185,4.807142857142856,4.455,2.3777777777777778,-2.4850000000000003
2010-06-07,0.5061955027591448,11.15,1.1150000000000002,7.878571428571427,4.455,2.366111111111111,10.035
2010-06-08,0.5035884082873476,1.25,1.93,10.214285714285714,4.455,2.4255555555555555,-0.6799999999999999
2010-06-09,0.5317551548095035,18.1,1.025,10.64285714285714,4.3916666666666675,2.4505555555555554,17.075000000000003
2010-06-10,0.5658770216995113,21.5,0.79,11.364285714285712,4.3966666666666665,2.471111111111111,20.71
2010-06-11,0.6900710521098372,16.4,0.89,9.778571428571428,4.400000000000001,2.471111111111111,15.509999999999998
2010-06-12,0.734936927931798,5.4,2.405,10.299999999999999,4.400000000000001,2.4805555555555556,2.9950000000000006
2010-06-13,0.735638552027228,5.75,2.73,7.857142857142855,4.361666666666667,2.4805555555555556,3.02
2010-06-14,0.7396095644846843,0.05,3.155,4.807142857142856,4.353333333333334,2.66,-3.105
2010-06-15,0.738929675927988,4.9,3.175,2.564285714285713,3.5633333333333335,2.6911111111111112,1.7250000000000005
2010-06-16,0.736708051085484,1.0,4.0200000000000005,3.2999999999999994,3.5483333333333333,2.7977777777777777,-3.0200000000000005
2010-06-17,0.7335456498033903,0.15,2.2350000000000003,3.249999999999999,3.5483333333333333,2.8127777777777774,-2.0850000000000004
2010-06-18,0.72673021661615,0.7000000000000001,2.735,3.2428571428571424,3.55,2.888333333333333,-2.0349999999999997
2010-06-19,0.7310699286257145,10.55,1.64,2.5428571428571423,3.5516666666666667,2.893333333333333,8.91
2010-06-20,0.7533460661533887,5.4,2.8049999999999997,2.4142857142857137,3.79,2.893333333333333,2.5950000000000006
2010-06-21,0.7501563925946176,0.0,3.185,2.4142857142857133,3.7100000000000004,2.963888888888889,-3.185
2010-06-22,0.7350507162570452,0.0,2.7699999999999996,2.328571428571428,3.693333333333334,2.9955555555555553,-2.7699999999999996
2010-06-23,0.715252271750983,0.1,3.455,0.8214285714285704,3.3216666666666668,2.97,-3.355
2010-06-24,0.6980069804712026,0.15,3.89,0.06428571428571327,3.2849999999999997,2.9583333333333335,-3.74
2010-06-25,0.6877208307173777,0.1,3.5199999999999996,0.06428571428571327,2.681666666666666,2.977222222222222,-3.4199999999999995
