date;discharge;precipitation;ETp
2004-09-03;0.1809617142857143;0.0;2.15
2004-09-04;0.14951828571428571;0.0;2.13
2004-09-05;0.12909085714285715;0.0;2.22
2004-09-06;0.1193862857142857;0.0;1.95
2004-09-07;0.11381657142857145;0.0;2.45
2004-09-08;0.106596;0.0;2.09
2004-09-09;0.09437657142857145;0.0;2.0
2004-09-10;0.09142971428571428;0.0;2.11
2004-09-11;0.09047314285714286;0.1;1.98
2004-09-12;0.09084342857142856;4.0;1.76
2004-09-13;0.09784799999999999;0.3;1.84
2004-09-14;0.09912857142857143;0.2;2.33
2004-09-15;0.09500914285714285;0.4;2.55
2004-09-16;0.09166114285714286;0.0;1.88
2004-09-17;0.08860628571428572;0.0;1.99
2004-09-18;0.0853662857142857;4.0;1.69
2004-09-19;0.09829542857142856;4.4;1.38
2004-09-20;0.11185714285714286;8.1;0.88
2004-09-21;0.13280914285714285;1.8;1.45
2004-09-22;0.14541428571428572;0.1;1.75
2004-09-23;0.1378542857142857;4.1;1.04
2004-09-24;0.13515428571428573;0.0;0.98
2004-09-25;0.12367542857142855;0.3999999999999999;1.2
2004-09-26;0.113724;1.5;1.04
2004-09-27;0.11596114285714285;2.2;1.77
2004-09-28;0.11432571428571428;0.2;1.39
2004-09-29;0.10784571428571428;2.4;0.95
2004-09-30;0.10602514285714287;0.0;1.13
2004-10-01;0.09824914285714284;0.0;0.82
2004-10-02;0.0951017142857143;2.4;0.96
2004-10-03;0.10357199999999998;1.1;1.07
2004-10-04;0.10636457142857145;1.6;1.06
2004-10-05;0.11804399999999998;17.3;0.54
2004-10-06;0.1511074285714286;0.0;0.91
2004-10-07;0.1601331428571429;0.1;1.07
2004-10-08;0.143748;0.6;0.85
2004-10-09;0.12313542857142858;0.0;0.81
2004-10-10;0.103896;0.0;0.71
2004-10-11;0.09399085714285715;0.0;0.72
2004-10-12;0.08874514285714287;0.1;1.13
2004-10-13;0.08548971428571428;0.0;1.21
2004-10-14;0.08516571428571429;0.0;0.99
2004-10-15;0.0847337142857143;3.1;0.78
2004-10-16;0.09908228571428573;2.9;0.46
2004-10-17;0.20047885714285718;37.9;0.42
2004-10-18;0.48866914285714286;12.8;0.49
2004-10-19;0.6032571428571428;0.2;0.42
2004-10-20;0.548856;0.3;0.48
2004-10-21;0.4666525714285714;2.3;1.01
2004-10-22;0.38986457142857145;0.5;1.13
2004-10-23;0.3237685714285714;2.9;0.84
2004-10-24;0.31278342857142855;4.4;0.45
2004-10-25;0.3200657142857143;0.2;0.97
2004-10-26;0.29724685714285715;0.3;0.65
2004-10-27;0.26128285714285715;0.0;0.22
2004-10-28;0.23560971428571426;0.5;0.55
2004-10-29;0.21823714285714285;3.5;0.39
2004-10-30;0.2276022857142857;4.1000000000000005;0.43
2004-10-31;0.22570457142857145;0.0;0.38
2004-11-01;0.20711314285714288;0.0;0.32
2004-11-02;0.1896325714285714;0.0;0.3
2004-11-03;0.17924914285714286;0.3;0.49
2004-11-04;0.17554628571428574;0.9;0.38
2004-11-05;0.18636171428571432;4.800000000000001;0.64
2004-11-06;0.20041714285714285;3.2;0.61
2004-11-07;0.20032457142857146;0.0;0.07
2004-11-08;0.1920702857142857;0.0;0.0
2004-11-09;0.18022114285714283;1.7000000000000002;0.32
2004-11-10;0.19062;4.2;0.7
2004-11-11;0.21115542857142855;0.0;0.26
2004-11-12;0.2083937142857143;3.1999999999999997;0.57
2004-11-13;0.22337485714285715;0.0;0.4
2004-11-14;0.21862285714285715;0.0;0.2
2004-11-15;0.21576857142857142;0.5;0.86
2004-11-16;0.21137142857142857;0.4;0.61
2004-11-17;0.21677142857142856;5.2;0.33
2004-11-18;0.2387108571428571;2.7;0.94
2004-11-19;0.25326;0.4;0.23
2004-11-20;0.2362577142857143;1.2000000000000002;0.21
2004-11-21;0.21484285714285714;0.3;0.13
2004-11-22;0.2461782857142857;14.5;0.41
2004-11-23;0.47905714285714285;0.5;0.72
2004-11-24;0.5894485714285714;0.6;0.0
2004-11-25;0.5625102857142856;1.0;0.41
2004-11-26;0.515052;8.2;0.36
2004-11-27;0.8201828571428571;4.1;0.47
2004-11-28;0.7868571428571428;1.5999999999999999;0.23
2004-11-29;0.6387428571428572;0.6;0.14
2004-11-30;0.5145428571428572;0.0;0.22
2004-12-01;0.48214285714285715;6.0;0.27
2004-12-02;0.5596405714285714;2.0;0.14
2004-12-03;0.6079937142857142;0.3;0.37
2004-12-04;0.5926885714285715;1.7;0.15
2004-12-05;0.5495194285714285;0.3;0.74
2004-12-06;0.507708;0.1;0.36
2004-12-07;0.47486057142857147;0.0;0.45
2004-12-08;0.4702011428571429;0.0;0.32
2004-12-09;0.4512857142857143;0.0;0.27
2004-12-10;0.4165559999999999;0.0;0.15
2004-12-11;0.38585314285714284;0.0;0.24
2004-12-12;0.362124;0.0;0.23
2004-12-13;0.3462634285714286;0.2;0.29
2004-12-14;0.3441651428571428;0.4;0.31
2004-12-15;0.3606737142857142;1.6;0.29
2004-12-16;0.37486800000000003;1.4;0.33
2004-12-17;0.4439108571428571;3.0;0.27
2004-12-18;0.4543714285714286;4.1000000000000005;0.26
2004-12-19;0.4713428571428571;0.30000000000000004;0.58
2004-12-20;0.5060571428571429;5.6;0.11
2004-12-21;0.47597142857142855;0.0;0.08
2004-12-22;0.5508;4.1000000000000005;0.36
2004-12-23;0.7485480000000001;4.4;0.73
2004-12-24;0.9943714285714286;23.0;0.2
2004-12-25;1.3470685714285715;10.5;0.17
2004-12-26;1.750757142857143;0.0;0.04
2004-12-27;1.9456354285714281;0.1;0.08
2004-12-28;1.8597754285714285;0.1;0.27
2004-12-29;1.625322857142857;0.5;0.13
2004-12-30;1.3659685714285714;3.1999999999999997;0.34
2004-12-31;1.2059434285714283;1.9;0.11
2005-01-01;1.119096;0.0;0.06
2005-01-02;1.062828;5.2;0.61
2005-01-03;1.0322794285714285;3.1;0.65
2005-01-04;1.1611851428571431;16.1;0.55
2005-01-05;1.4149388571428572;0.2;0.5
2005-01-06;1.528369714285714;1.7;0.44
2005-01-07;1.4703119999999998;2.5;0.7
2005-01-08;1.3496297142857143;5.0;1.49
2005-01-09;1.2481405714285714;0.8999999999999999;1.23
2005-01-10;1.1810571428571428;0.0;1.03
2005-01-11;1.0553142857142856;0.0;0.9
2005-01-12;1.0645714285714285;0.0;0.78
2005-01-13;0.9996017142857143;0.0;0.65
2005-01-14;0.9149914285714286;0.0;0.55
2005-01-15;0.8304582857142858;0.0;0.44
2005-01-16;0.7680651428571429;0.0;0.33
2005-01-17;0.7305428571428572;0.0;0.24
2005-01-18;0.7591165714285715;3.1;0.3
2005-01-19;0.8370771428571429;0.3999999999999999;0.33
2005-01-20;0.8814034285714285;5.800000000000001;0.61
2005-01-21;0.9222428571428571;5.6;0.45
2005-01-22;0.8952737142857143;0.0;0.36
2005-01-23;0.8162022857142858;1.5;0.45
2005-01-24;0.7346005714285714;0.0;0.32
2005-01-25;0.6588617142857144;0.0;0.18
2005-01-26;0.5784788571428572;0.0;0.0
2005-01-27;0.5467885714285714;0.1;0.1
2005-01-28;0.5346154285714286;0.2;0.0
2005-01-29;0.50004;0.1;0.14
2005-01-30;0.48191142857142855;0.2;0.3
2005-01-31;0.5187857142857143;0.0;0.9
2005-02-01;0.5264074285714285;0.0;0.82
2005-02-02;0.513;0.0;0.22
2005-02-03;0.48928628571428573;0.0;0.19
2005-02-04;0.4368445714285714;0.5;0.24
2005-02-05;0.4086565714285715;0.0;0.43
2005-02-06;0.39088285714285714;0.0;0.39
2005-02-07;0.36894342857142864;0.0;0.3
2005-02-08;0.34678799999999993;0.0;0.36
2005-02-09;0.3275948571428572;0.5;0.17
2005-02-10;0.3628182857142857;8.3;0.39
2005-02-11;0.43644342857142854;0.0;0.5
2005-02-12;0.44133428571428573;17.0;0.27
2005-02-13;0.5480845714285715;10.2;0.14
2005-02-14;0.5268085714285714;1.7000000000000002;0.4
2005-02-15;0.5278885714285714;0.1;0.56
2005-02-16;0.5379942857142858;0.30000000000000004;0.43
2005-02-17;0.544721142857143;2.1;0.29
2005-02-18;0.5209611428571429;2.5;0.28
2005-02-19;0.5244942857142857;0.1;0.21
2005-02-20;0.655158857142857;0.1;0.27
2005-02-21;0.6696;0.0;0.53
2005-02-22;0.594432;0.8;0.62
2005-02-23;0.5370068571428571;0.0;0.76
2005-02-24;0.5026474285714284;1.0;0.58
2005-02-25;0.5014285714285714;0.0;0.43
2005-02-26;0.506628;0.2;0.64
2005-02-27;0.47979771428571427;0.0;0.69
2005-02-28;0.4529674285714286;0.8;0.46
2005-03-01;0.4485548571428572;3.3;0.36
2005-03-02;0.4010348571428572;5.0;0.4
2005-03-03;0.4053548571428571;0.0;0.49
2005-03-04;0.4107857142857143;0.0;0.42
2005-03-05;0.3979337142857142;0.0;0.64
2005-03-06;0.37593257142857145;0.0;0.63
2005-03-07;0.3609514285714286;0.0;0.71
2005-03-08;0.3810857142857143;0.0;1.0
2005-03-09;0.3610285714285714;0.1;0.76
2005-03-10;0.3378857142857143;0.0;0.62
2005-03-11;0.4902582857142858;8.9;0.67
2005-03-12;0.7930440000000001;3.0;0.51
2005-03-13;0.8283908571428571;1.1;0.61
2005-03-14;0.7411577142857143;0.30000000000000004;0.91
2005-03-15;0.7478382857142858;5.2;0.67
2005-03-16;1.1539028571428571;6.5;0.44
2005-03-17;1.7375348571428568;0.6000000000000001;0.5
2005-03-18;2.2044034285714287;6.8;0.56
2005-03-19;2.352888;0.0;1.13
2005-03-20;2.1730217142857144;0.0;0.83
2005-03-21;1.8644965714285717;0.0;1.02
2005-03-22;1.6135508571428574;0.0;1.36
2005-03-23;1.4044320000000001;0.0;1.01
2005-03-24;1.227682285714286;0.0;0.54
2005-03-25;1.0863411428571428;0.0;1.06
2005-03-26;0.9635142857142858;0.0;1.36
2005-03-27;0.7948954285714285;0.0;1.58
2005-03-28;0.6807085714285714;0.0;1.36
2005-03-29;0.6181148571428572;0.0;1.84
2005-03-30;0.5904051428571429;0.0;1.42
2005-03-31;0.5568171428571429;0.0;1.48
2005-04-01;0.5222725714285714;0.0;1.62
2005-04-02;0.4967382857142858;0.0;1.98
2005-04-03;0.4686891428571429;0.0;2.28
2005-04-04;0.44634857142857143;0.0;2.54
2005-04-05;0.4290685714285714;2.7;1.9
2005-04-06;0.4156148571428572;0.0;1.73
2005-04-07;0.419904;0.5;1.73
2005-04-08;0.40159028571428573;0.0;1.36
2005-04-09;0.36564171428571424;0.0;1.88
2005-04-10;0.3381017142857143;0.2;1.34
2005-04-11;0.3258051428571428;0.4;1.88
2005-04-12;0.31198114285714285;0.0;2.45
2005-04-13;0.30132;14.799999999999999;0.69
2005-04-14;0.3267;3.0;1.26
2005-04-15;0.30267771428571427;0.0;2.42
2005-04-16;0.284796;0.0;2.47
2005-04-17;0.27415028571428574;0.0;3.16
2005-04-18;0.262656;0.0;3.48
2005-04-19;0.25017428571428574;0.2;2.57
2005-04-20;0.24175028571428572;0.0;1.6
2005-04-21;0.23139771428571432;0.0;2.28
2005-04-22;0.22241828571428576;0.9999999999999999;1.33
2005-04-23;0.21478114285714284;0.0;2.19
2005-04-24;0.21138685714285713;0.0;2.16
2005-04-25;0.20805428571428572;0.0;2.5
2005-04-26;0.18466457142857146;0.0;2.96
2005-04-27;0.17671885714285718;3.2;2.48
2005-04-28;0.19271828571428568;1.3;1.93
2005-04-29;0.17732057142857147;0.5;1.7
2005-04-30;0.16858799999999996;0.1;1.92
2005-05-01;0.16719942857142858;1.5;1.73
2005-05-02;0.2265531428571429;8.2;1.24
2005-05-03;0.21893142857142858;0.0;2.67
2005-05-04;0.1901417142857143;2.9000000000000004;1.3
2005-05-05;0.17212114285714283;0.0;2.24
2005-05-06;0.248832;7.6000000000000005;2.0
2005-05-07;0.2512851428571429;4.199999999999999;2.21
2005-05-08;0.19381371428571426;0.7000000000000001;2.0
2005-05-09;0.2108777142857143;4.9;1.81
2005-05-10;0.2441262857142857;7.4;1.69
2005-05-11;0.21566057142857145;0.0;2.06
2005-05-12;0.19464685714285712;0.0;2.87
2005-05-13;0.18597600000000003;0.1;2.44
2005-05-14;0.1821497142857143;0.3;2.34
2005-05-15;0.17872457142857145;0.0;3.51
2005-05-16;0.18654685714285713;1.5;1.69
2005-05-17;0.18187200000000003;1.7000000000000002;2.87
2005-05-18;0.19804114285714283;0.5;2.44
2005-05-19;0.1775674285714286;0.0;2.68
2005-05-20;0.16718400000000003;0.8;2.92
2005-05-21;0.276804;10.9;1.57
2005-05-22;0.3011502857142857;0.2;2.92
2005-05-23;0.2733325714285715;1.6;2.15
2005-05-24;0.23141314285714287;0.1;3.34
2005-05-25;0.22391485714285714;1.4000000000000001;2.29
2005-05-26;0.22033542857142854;0.0;3.88
